dname2019,d,total2020,ttotal2020,2010,2016,2017,2018,2020,NAME_NORM,Region,District,0-28 DAYS FEMALE,0-28 DAYS MALE,0-28 DAYS TOTAL,10-19 YEARS FEMALE,10-19 YEARS MALE,10-19YRS TOTAL,20+ YRS FEMALE,20+ YRS MALE,20+ YRS TOTAL,5-9YRS FEMALE,5-9YRS MALE,5-9YRS TOTAL,29 DAYS-4YRS FEMALE,29DAYS - 4YRS MALE,29 DAYS - 4YRS TOTAL,0-28 DAYS (B/S & RDT) FEMALE,0-28 DAYS (B/S & RDT) MALE,0-28 DAYS (B/S & RDT) TOTAL,10-19 YRS (B/S & RDT) FEMALE,10-19 YRS (B/S & RDT) MALE,10-19 YRS (B/S & RDT) TOTAL,20+ (B/S &RDT) FEMALE,20+ (B/S & RDT) MALE,20 + (B/S & RDT) TOTAL,29DAYS-4YRS (B/S & RDT) FEMALE,29DAYS-4YRS (B/S & RDT) MALE,29DAYS-4 YRS (B/S & RDT) TOTAL,5-9YRS (B/S & RDT) FEMALE,5-9YRS (B/S & RDT) MALE,5-9YRS (B/S & RDT) TOTAL,TOTAL CASES CONFIRMED(B/S & RDT),0-28 DAYS FEMALE CT,0-28 DAYS MALE CT,0-28 DAYS TOTAL CT,10-19 YRS FEMALE CT,10-19 YRS MALE CT,10-19 YRS CT TOTAL,20 + YRS FEMALE CT,20 + YRS MALE CT,20 + YRS CT TOTAL,29DAYS - 4YRS FEMALE CT,29 DAYS - 4YRS MALE CT,29 DAYS - 4YRS CT TOTAL,5-9YRS FEMALE CT,5-9YRS MALE CT,5-9YRS CT TOTAL,PREG 10-19YRS,PREG 20 + YRS,TOTAL PREG,TOTAL CASES FEMALE,TOTAL CASES MALE,GRAND TOTAL CASES,<5YRS FEMALES TOTAL,<5YRS MALE TOTAL,< 5YRS GRAND TOTAL,AREA(Km2),TOTAL POPULATION,POPULATION DENSITY(People per km2),CORDINATES (LATITUDE ° N),CORDINATES (LONGITUDE ° E),Incidence_Rate,DIST_NORM,local_I,local_z,local_p,lisa_q,lisa_sig,G_z,G_p,G_hot,G_cold,Year,Cluster_Type
KITAGWENDA,Kitagwenda,"178,300",178300,KAMWENGE,KAMWENGE,KAMWENGE,KAMWENGE,KITAGWENDA,KITAGWENDA,Tooro,Kitagwenda District,1,1,2,5922,4203,10125,8784,4813,13597,2106,1828,3934,3068,2454,5522,1,1,2,5733,4071,9804,8349,4579,12928,2987,2386,5373,2029,1788,3817,31924,1,1,2,5670,4035,9705,37794,91168,128962,2974,2375,5349,2007,1772,3779,321,764,1085,19881,13299,33180,4382,2455,6837,677,171493.666,253.31413,0,0,186.1526478,KITAGWENDA,0.068999783,0.2841974,0.422,3,False,-0.13890753,0.425,False,False,2021,Not Significant
KABERAMAIDO,Kaberamaido,"132,700",132700,KABERAMAIDO,KABERAMAIDO,KABERAMAIDO,KABERAMAIDO,KABERAMAIDO,KABERAMAIDO,Teso,Kaberamaido District,20,3,23,15630,8646,24276,14706,5369,20075,8163,6736,14899,9487,8704,18191,20,3,23,14795,8307,23102,14715,4999,19714,9044,8221,17265,7840,6402,14242,74346,20,3,23,15181,8381,23562,110184,226626,336810,9162,8359,17521,7922,6527,14449,743,1273,2016,48006,29458,77464,3726,8707,12433,689,129112.5485,187.391217,1.6325,0,575.8231935,KABERAMAIDO,0.164843229,0.408269904,0.255,1,False,0.199249106,0.256,False,False,2021,Not Significant
KOLE,Kole,"284,300",284300,KOLE,KOLE,KOLE,KOLE,KOLE,KOLE,Lango,Kole District,5,8,13,14158,5978,20136,19316,7020,26336,5803,4079,9882,10717,9706,20423,5,7,12,14142,5966,20108,19248,6992,26240,10696,9668,20364,5788,4063,9851,76575,5,7,12,14141,5966,20107,100668,241378,342046,10695,9667,20362,5787,4063,9850,1969,4340,6309,49999,26791,76790,14756,9714,24470,1073,276599.7132,257.7816526,2.3031,0,276.8441048,KOLE,0.028429186,0.312331884,0.431,3,False,-0.148945147,0.404,False,False,2021,Not Significant
KANUNGU,Kanungu,"277,300",277300,KANUNGU,KANUNGU,KANUNGU,KANUNGU,KANUNGU,KANUNGU,Kigezi,Kanungu District,8,8,16,10267,8108,18375,14192,8964,23156,4285,3520,7805,4341,3761,8102,11,5,16,9841,7761,17602,13411,8508,21919,4192,3648,7840,4161,3409,7570,54947,11,5,16,9995,7855,17850,66552,152272,218824,4186,3673,7859,4161,3433,7594,156,516,672,33093,24361,57454,5114,3769,8883,1275,291412.7654,228.5590317,0.8195,0,188.5538539,KANUNGU,0.506960427,1.785101288,0.001,3,True,-1.013088279,0.001,False,True,2021,Low-Low
KASESE,Kasese,"793,200",793200,KASESE,KASESE,KASESE,KASESE,KASESE,KASESE,Tooro,Kasese District,112,70,182,32850,27984,60834,50210,32629,82839,14747,12983,27730,15789,14368,30157,99,58,157,31062,26771,57833,46013,31676,77689,14561,13197,27758,13940,12242,26182,189619,99,58,157,30287,26017,56304,220802,526402,747204,14055,12798,26853,13433,11841,25274,665,1236,1901,113708,88034,201742,14862,14438,29300,2795,802700.156,287.191469,0.1699,0,236.2264397,KASESE,0.126938051,0.96873347,0.14,3,False,-0.381163811,0.135,False,False,2021,Not Significant
BUTALEJA,Butaleja,"300,500",300500,BUTALEJA,BUTALEJA,BUTALEJA,BUTALEJA,BUTALEJA,BUTALEJA,Bukedi,Butaleja District,11,8,19,15273,8170,23443,23395,8194,31589,13478,10801,24279,18624,16937,35561,7,5,12,14360,7719,22079,20967,7443,28410,17197,15568,32765,12688,10430,23118,106384,8,6,14,14080,7690,21770,155334,350844,506178,16987,15517,32504,12793,10428,23221,578,1206,1784,70781,44110,114891,6044,16945,22989,655,290373.6171,443.3184994,0,0,366.3693729,BUTALEJA,-0.007463864,-0.159876169,0.476,4,False,-0.0604931,0.49,False,False,2021,Not Significant
AGAGO,Agago,"251,200",251200,AGAGO,AGAGO,AGAGO,AGAGO,AGAGO,AGAGO,Acholi,Agago District,25,21,46,40202,20974,61176,38604,11565,50169,16133,12026,28159,18736,17591,36327,19,19,38,39030,20462,59492,36406,11134,47540,18095,17080,35175,15710,11723,27433,169678,18,19,37,38999,20410,59409,244108,519974,764082,18492,17124,35616,15620,11751,27371,1154,2459,3613,113700,62177,175877,35020,17612,52632,3493,280860.7314,80.40673672,2.9251,0,604.1357193,AGAGO,0.795197289,1.914402695,0.041,1,True,0.84142451,0.044,True,False,2021,High-High
KOTIDO,Kotido,"206,500",206500,KOTIDO,KOTIDO,KOTIDO,KOTIDO,KOTIDO,KOTIDO,Karamoja,Kotido District,25,31,56,7818,4804,12622,16944,8729,25673,6466,4903,11369,19011,17562,36573,24,30,54,7317,4452,11769,15600,7942,23542,18386,16996,35382,6114,4591,10705,81452,25,31,56,7347,4498,11845,115976,295038,411014,18451,17003,35454,6181,4619,10800,296,1041,1337,50264,36029,86293,27270,17593,44863,3610,207332.6229,57.43285953,3.0352,0,392.8566516,KOTIDO,0.1038205,1.315477326,0.077,1,False,0.48550922,0.088,False,False,2021,Not Significant
BUGIRI,Bugiri,"480,400",480400,BUGIRI,BUGIRI,BUGIRI,BUGIRI,BUGIRI,BUGIRI,Busoga,Bugiri District,62,33,95,14633,7724,22357,24941,9901,34842,13380,10611,23991,18442,16720,35162,61,32,93,14590,7697,22287,24789,9830,34619,18402,16677,35079,13344,10582,23926,116004,61,32,93,14478,7644,22122,162440,365895,528335,18143,16414,34557,13238,10500,23738,1128,2339,3467,71458,44989,116447,9477,16753,26230,1033,448763.2922,434.4271947,0.5316,0,258.4970786,BUGIRI,-0.036218432,-0.371892395,0.269,2,False,0.138968792,0.264,False,False,2021,Not Significant
MANAFWA,Manafwa,"175,200",175200,MANAFWA,MANAFWA,MANAFWA,MANAFWA,MANAFWA,MANAFWA,Bugisu,Manafwa District,2,5,7,7828,4888,12716,11103,6863,17966,4271,3555,7826,8716,7557,16273,2,5,7,7150,4550,11700,9770,6255,16025,8286,7120,15406,4074,3337,7411,50549,1,5,6,7145,4550,11695,69036,167086,236122,8295,7030,15325,4056,3324,7380,677,1354,2031,31920,22868,54788,8038,7562,15600,237,174817.4815,737.6265042,0,0,289.1530044,MANAFWA,0.054322889,0.745202808,0.2,3,False,-0.364434503,0.206,False,False,2021,Not Significant
