Region,District,0-28 DAYS FEMALE,0-28 DAYS MALE,0-28 DAYS TOTAL,10-19 YEARS FEMALE,10-19 YEARS MALE,10-19YRS TOTAL,20+ YRS FEMALE,20+ YRS MALE,20+ YRS TOTAL,5-9YRS FEMALE,5-9YRS MALE,5-9YRS TOTAL,29 DAYS-4YRS FEMALE,29DAYS - 4YRS MALE,29 DAYS - 4YRS TOTAL,0-28 DAYS (B/S & RDT) FEMALE,0-28 DAYS (B/S & RDT) MALE,0-28 DAYS (B/S & RDT) TOTAL,10-19 YRS (B/S & RDT) FEMALE,10-19 YRS (B/S & RDT) MALE,10-19 YRS (B/S & RDT) TOTAL,20+ (B/S &RDT) FEMALE,20+ (B/S & RDT) MALE,20 + (B/S & RDT) TOTAL,29DAYS-4YRS (B/S & RDT) FEMALE,29DAYS-4YRS (B/S & RDT) MALE,29DAYS-4 YRS (B/S & RDT) TOTAL,5-9YRS (B/S & RDT) FEMALE,5-9YRS (B/S & RDT) MALE,5-9YRS (B/S & RDT) TOTAL,TOTAL CASES CONFIRMED(B/S & RDT),0-28 DAYS FEMALE CT,0-28 DAYS MALE CT,0-28 DAYS TOTAL CT,10-19 YRS FEMALE CT,10-19 YRS MALE CT,10-19 YRS CT TOTAL,20 + YRS FEMALE CT,20 + YRS MALE CT,20 + YRS CT TOTAL,29DAYS - 4YRS FEMALE CT,29 DAYS - 4YRS MALE CT,29 DAYS - 4YRS CT TOTAL,5-9YRS FEMALE CT,5-9YRS MALE CT,5-9YRS CT TOTAL,PREG 10-19YRS,PREG 20 + YRS,TOTAL PREG,TOTAL CASES FEMALE,TOTAL CASES MALE,GRAND TOTAL CASES,<5YRS FEMALES TOTAL,<5YRS MALE TOTAL,< 5YRS GRAND TOTAL,AREA(Km2),TOTAL POPULATION,POPULATION DENSITY(People per km2),CORDINATES (LATITUDE ° N),CORDINATES (LONGITUDE ° E),Year,Incidence_Rate,POPULATION DENSITY
Teso,Bukedea District,20.0,22.0,42.0,15176.0,7287.0,22463.0,21750.0,7838.0,29588.0,7600.0,5362.0,12962.0,10079.0,8688.0,18767.0,18.0,22.0,40.0,14965.0,7083.0,22048.0,20985.0,7445.0,28430.0,9449.0,8539.0,17988.0,7390.0,5161.0,12551.0,81057.0,18.0,22.0,40.0,15133.0,6969.0,22102.0,20451.0,7287.0,27738.0,9310.0,8427.0,17737.0,7263.0,5064.0,12327.0,942.0,3048.0,3990.0,44546.0,29197.0,73743.0,10099.0,8710.0,18809.0,1032.0,248003.4467,240.3134173,1.3557,34.1087,2020,326.83819954345824,240.31341734496124
Bukedi,Bukedi,113.0,78.0,191.0,71366.0,42067.0,113433.0,110839.0,48735.0,159574.0,45876.0,36016.0,81892.0,65670.0,58302.0,123972.0,109.0,72.0,181.0,69005.0,40651.0,109656.0,105062.0,46650.0,151712.0,63116.0,56003.0,119119.0,44541.0,35106.0,79647.0,460315.0,106.0,235.0,341.0,67953.0,40076.0,108029.0,103131.0,45797.0,148928.0,61990.0,55136.0,117126.0,43866.0,34619.0,78485.0,2520.0,4560.0,7080.0,228194.0,185198.0,413392.0,65783.0,58380.0,124163.0,4504.0,2162302.077,480.0848305,0.0,0.0,2020,212.88191178109847,480.08483059502663
South Central,Bukomansimbi District,4.0,5.0,9.0,4203.0,3456.0,7659.0,4857.0,2896.0,7753.0,2907.0,2688.0,5595.0,2981.0,3001.0,5982.0,4.0,5.0,9.0,4180.0,3440.0,7620.0,4797.0,2879.0,7676.0,2941.0,2973.0,5914.0,2892.0,2677.0,5569.0,26788.0,4.0,4.0,8.0,4173.0,3442.0,7615.0,4773.0,2867.0,7640.0,2935.0,2966.0,5901.0,2891.0,2714.0,5605.0,102.0,367.0,469.0,11971.0,12046.0,24017.0,2985.0,3006.0,5991.0,600.0,177621.3751,296.0356251,0.1433,31.6055,2020,150.8151819279548,296.03562516666665
Bugisu,Bukwo District,3.0,0.0,3.0,1299.0,895.0,2194.0,3734.0,1923.0,5657.0,497.0,438.0,935.0,766.0,593.0,1359.0,0.0,0.0,0.0,550.0,547.0,1097.0,1145.0,1035.0,2180.0,255.0,235.0,490.0,289.0,274.0,563.0,4330.0,0.0,0.0,0.0,526.0,529.0,1055.0,1084.0,985.0,2069.0,235.0,211.0,446.0,263.0,252.0,515.0,27.0,52.0,79.0,5533.0,3849.0,9382.0,769.0,593.0,1362.0,525.0,103632.5039,197.3952454,1.2819,34.7299,2020,41.782257853947314,197.3952455238095
Bugisu,Bulambuli District,5.0,2.0,7.0,5887.0,3962.0,9849.0,10857.0,5951.0,16808.0,3100.0,2489.0,5589.0,3684.0,3541.0,7225.0,3.0,2.0,5.0,5241.0,3526.0,8767.0,9540.0,5299.0,14839.0,3273.0,3224.0,6497.0,2836.0,2253.0,5089.0,35197.0,3.0,2.0,5.0,5199.0,3561.0,8760.0,9317.0,5185.0,14502.0,3179.0,3189.0,6368.0,2799.0,2252.0,5051.0,329.0,700.0,1029.0,19849.0,15945.0,35794.0,3689.0,3543.0,7232.0,695.0,208835.8364,300.4832179,1.4815,34.2866,2020,168.53908125511737,300.4832178417266
Bunyoro,Buliisa District,4.0,3.0,7.0,12271.0,6924.0,19195.0,13394.0,6622.0,20016.0,8251.0,6701.0,14952.0,12458.0,11517.0,23975.0,4.0,3.0,7.0,12186.0,6887.0,19073.0,13082.0,6351.0,19433.0,12355.0,11338.0,23693.0,8184.0,6655.0,14839.0,77045.0,4.0,1.0,5.0,11616.0,6699.0,18315.0,12802.0,6476.0,19278.0,11682.0,10782.0,22464.0,7839.0,6420.0,14259.0,798.0,1911.0,2709.0,33920.0,31767.0,65687.0,12462.0,11520.0,23982.0,1367.0,143383.711,104.8893277,1.8992,31.3542,2020,537.3343977685163,104.88932772494515
Tooro,Bundibugyo District,16.0,27.0,43.0,12840.0,7801.0,20641.0,24092.0,12405.0,36497.0,8566.0,6676.0,15242.0,10019.0,8935.0,18954.0,16.0,25.0,41.0,12599.0,7696.0,20295.0,23560.0,12274.0,35834.0,9830.0,8760.0,18590.0,8385.0,6536.0,14921.0,89681.0,16.0,24.0,40.0,12633.0,7702.0,20335.0,23855.0,12372.0,36227.0,9927.0,8795.0,18722.0,8436.0,6573.0,15009.0,593.0,1234.0,1827.0,45514.0,35844.0,81358.0,10035.0,8962.0,18997.0,850.0,247815.3567,291.5474784,0.6852,0.0,2020,361.8863705390377,291.54747847058826
Tooro,Bunyangabu District,9.0,1.0,10.0,3582.0,3016.0,6598.0,5607.0,4020.0,9627.0,1860.0,1647.0,3507.0,1932.0,9345.0,11277.0,10.0,0.0,10.0,3379.0,2862.0,6241.0,5085.0,3645.0,8730.0,1801.0,1644.0,3445.0,1782.0,1558.0,3340.0,21766.0,10.0,0.0,10.0,3227.0,2706.0,5933.0,4920.0,3519.0,8439.0,1736.0,38571.0,40307.0,1703.0,1504.0,3207.0,67.0,184.0,251.0,11058.0,18029.0,29087.0,1941.0,9346.0,11287.0,466.0,198021.5857,424.939025,0.4871,30.2051,2020,109.91730988850475,424.9390251072961
Bunyoro,Bunyoro,132.0,95.0,227.0,111157.0,74629.0,185786.0,264675.0,79882.0,344557.0,64130.0,51822.0,115952.0,85601.0,79011.0,164612.0,124.0,91.0,215.0,105126.0,70639.0,175765.0,131093.0,72832.0,203925.0,81232.0,74857.0,156089.0,60962.0,49479.0,110441.0,646435.0,122.0,83.0,205.0,104442.0,69650.0,174092.0,132416.0,75811.0,208227.0,80359.0,74404.0,154763.0,173818.0,48991.0,222809.0,6552.0,15774.0,22326.0,440094.0,285439.0,725533.0,85733.0,79106.0,164839.0,16580.0,2457488.054,148.2200274,0.0,0.0,2020,263.04705691155317,148.22002738238842
Ankole,Bushenyi District,0.0,2.0,2.0,4317.0,3932.0,8249.0,5546.0,4119.0,9665.0,1788.0,1573.0,3361.0,1247.0,1294.0,2541.0,0.0,2.0,2.0,4216.0,3822.0,8038.0,5008.0,3657.0,8665.0,1199.0,1246.0,2445.0,1735.0,1508.0,3243.0,22393.0,0.0,2.0,2.0,3973.0,3591.0,7564.0,4682.0,3399.0,8081.0,1121.0,1118.0,2239.0,1626.0,1412.0,3038.0,54.0,190.0,244.0,11651.0,10920.0,22571.0,1247.0,1296.0,2543.0,845.0,262692.3706,310.8785451,0.4875,30.1127,2020,85.24419627739276,310.87854508875745
