dname2019,d,total2020,ttotal2020,2010,2016,2017,2018,2020,NAME_NORM,District,TOTAL CASES CONFIRMED(B/S & RDT),CORDINATES (LATITUDE ° N),CORDINATES (LONGITUDE ° E),TOTAL POPULATION,Latitude,Longitude,Incidence_Rate,DIST_NORM,local_I,local_z,local_p,lisa_q,lisa_sig,G_z,G_p,G_hot,G_cold
YUMBE,Yumbe,"663,600",663600.0,YUMBE,YUMBE,YUMBE,YUMBE,YUMBE,YUMBE,Yumbe District,1767814.0,3.4698,31.2483,723635.0354,3.4698,31.2483,2442.9635292918265,YUMBE,0.5336278690035988,2.8735007895303526,0.02,1,True,1.316374778787662,0.019,True,False
BUYENDE,Buyende,"414,600",414600.0,BUYENDE,BUYENDE,BUYENDE,BUYENDE,BUYENDE,BUYENDE,Buyende District,495270.0,1.2414,33.1239,369159.5617,1.2414,33.1239,1341.6149854530504,BUYENDE,-0.07876864057123789,-0.5397387758648394,0.237,2,False,0.2068682835639951,0.266,False,False
KISORO,Kisoro,"315,400",315400.0,KISORO,KISORO,KISORO,KISORO,KISORO,KISORO,Kisoro District,54560.0,1.1539,29.6499,364929.2236,1.1539,29.6499,149.50844292975387,KISORO,1.1718676750880668,1.3701215478044897,0.029,3,True,-0.9728105723629547,0.021,False,True
NAKAPIRIPIRIT,Nakapiripirit,"113,300",113300.0,NAKAPIRIPIRIT,NAKAPIRIPIRIT,NAKAPIRIPIRIT,NAKAPIRIPIRIT,NAKAPIRIPIRIT,NAKAPIRIPIRIT,Nakapiripirit District,263898.0,1.7013,34.5971,101656.3411,1.7013,34.5971,2595.9816883474277,NAKAPIRIPIRIT,-0.097630714051726,-0.5179428146473241,0.317,4,False,-0.18584188717143554,0.294,False,False
GULU,Gulu,"325,600",325600.0,GULU,GULU,GULU,GULU,GULU,GULU,Gulu District,496827.0,2.955,32.4467,123872.7591,2.955,32.4467,4010.784966845871,GULU,2.7105105759713872,3.4946855204925784,0.016,1,True,1.8096642312714242,0.013,True,False
BUKOMANSIMBI,Bukomansimbi,"156,600",156600.0,BUKOMANSIMBI,BUKOMANSIMBI,BUKOMANSIMBI,BUKOMANSIMBI,BUKOMANSIMBI,BUKOMANSIMBI,Bukomansimbi District,153745.0,0.1433,31.6055,177621.3751,0.1433,31.6055,865.5771295174485,BUKOMANSIMBI,0.2408544105072306,0.7923704365602462,0.205,3,False,-0.34322199161315325,0.196,False,False
DOKOLO,Dokolo,"215,500",215500.0,DOKOLO,DOKOLO,DOKOLO,DOKOLO,DOKOLO,DOKOLO,Dokolo District,589156.0,1.9131,33.1717,201970.6038,1.9131,33.1717,2917.0383655604046,DOKOLO,0.15376833395331807,0.4999277324396458,0.259,1,False,0.2127990372769963,0.261,False,False
KWEEN,Kween,"109,500",109500.0,KWEEN,KWEEN,KWEEN,KWEEN,KWEEN,KWEEN,Kween District,73044.0,1.4126,34.5528,113644.2334,1.4126,34.5528,642.7426875493359,KWEEN,0.4734716719242793,1.5062944360257529,0.033,3,True,-0.5507356569659042,0.043,False,True
SERERE,Serere,"359,500",359500.0,SERERE,SERERE,SERERE,SERERE,SERERE,SERERE,Serere District,518295.0,1.4994,33.549,327270.4649,1.4994,33.549,1583.690114408488,SERERE,-0.02499595280065073,-0.2756980633637366,0.331,2,False,0.12108487331461647,0.35,False,False
AMURIA,Amuria,"225,000",225000.0,AMURIA,AMURIA,AMURIA,AMURIA,AMURIA,AMURIA,Amuria District,570723.0,2.0302,33.6428,221713.2959,2.0302,33.6428,2574.1487342167106,AMURIA,0.18359548484019592,0.7914354125434774,0.175,1,False,0.37141585840067276,0.183,False,False
